time,flux
0.0,0.940798
0.02,0.940763
0.04,0.941074
0.06,0.939983
0.0801,0.940788
0.1001,0.938498
0.1201,0.939406
0.1401,0.93863
0.1601,0.999514
0.1801,1.000566
0.2001,1.000357
0.2201,1.000626
0.2402,0.99839
0.2602,0.999354
0.2802,1.000733
0.3002,1.000577
0.3202,0.998539
0.3402,0.998827
0.3602,1.000472
0.3803,0.999874
0.4003,0.998315
0.4203,0.999403
0.4403,1.001565
0.4603,0.999469
0.4803,1.000509
0.5003,1.001305
0.5203,0.999414
0.5404,1.00027
0.5604,1.000597
0.5804,1.001564
0.6004,0.999567
0.6204,0.998376
0.6404,1.000839
0.6604,0.999696
0.6805,0.998584
0.7005,0.999613
0.7205,0.998993
0.7405,0.999669
0.7605,1.000736
0.7805,0.999737
0.8005,1.000614
0.8205,0.999954
0.8406,1.000469
0.8606,0.998849
0.8806,1.000765
0.9006,0.99955
0.9206,1.001027
0.9406,0.998781
0.9606,0.999425
0.9807,1.000259
1.0007,0.999284
1.0207,1.000497
1.0407,1.001887
1.0607,1.000682
1.0807,1.000565
1.1007,1.000977
1.1207,1.000075
1.1408,1.000086
1.1608,0.999855
1.1808,0.998959
1.2008,0.999371
1.2208,0.999805
1.2408,1.000607
1.2608,0.999476
1.2809,0.998472
1.3009,0.998492
1.3209,1.000166
1.3409,0.999577
1.3609,0.999399
1.3809,1.00126
1.4009,1.001541
1.4209,1.000559
1.441,0.999317
1.461,0.999389
1.481,0.999322
1.501,1.001056
1.521,1.000979
1.541,0.999189
1.561,1.001046
1.5811,1.000107
1.6011,0.999482
1.6211,0.998863
1.6411,1.000116
1.6611,0.999333
1.6811,1.000722
1.7011,1.000791
1.7211,0.998638
1.7412,1.000302
1.7612,0.999684
1.7812,0.999966
1.8012,1.000009
1.8212,1.000321
1.8412,0.99929
1.8612,1.000541
1.8813,0.999619
1.9013,0.999882
1.9213,1.00027
1.9413,0.998475
1.9613,0.99998
1.9813,0.999801
2.0013,0.9999
2.0213,0.999889
2.0414,1.000618
2.0614,1.000279
2.0814,0.999839
2.1014,1.000989
2.1214,0.999168
2.1414,0.999858
2.1614,0.999595
2.1815,1.00063
2.2015,1.000401
2.2215,1.001689
2.2415,1.000533
2.2615,1.000964
2.2815,0.998903
2.3015,0.998548
2.3215,0.999821
2.3416,0.998674
2.3616,1.001295
2.3816,1.000989
2.4016,1.000554
2.4216,0.998745
2.4416,1.000409
2.4616,0.999062
2.4817,0.999703
2.5017,1.001179
2.5217,1.000968
2.5417,1.000091
2.5617,0.998853
2.5817,1.000391
2.6017,1.001714
2.6217,0.999408
2.6418,0.999055
2.6618,0.999886
2.6818,0.999135
2.7018,1.000345
2.7218,0.99973
2.7418,1.001351
2.7618,0.999246
2.7819,0.998447
2.8019,1.000233
2.8219,0.998978
2.8419,1.000676
2.8619,1.000107
2.8819,1.000341
2.9019,1.000134
2.9219,0.999473
2.942,0.999168
2.962,1.000582
2.982,0.999511
3.002,1.000418
3.022,0.999419
3.042,0.999689
3.062,0.999571
3.0821,0.999452
3.1021,0.999328
3.1221,1.001263
3.1421,1.001065
3.1621,0.999145
3.1821,0.999783
3.2021,1.000218
3.2221,0.999134
3.2422,1.001178
3.2622,0.999644
3.2822,0.999972
3.3022,1.000722
3.3222,1.000046
3.3422,1.000236
3.3622,1.000749
3.3823,0.999508
3.4023,1.000063
3.4223,0.998932
3.4423,0.999383
3.4623,0.998926
3.4823,0.99977
3.5023,0.998991
3.5223,0.998712
3.5424,0.999476
3.5624,1.000459
3.5824,1.002438
3.6024,0.999432
3.6224,1.000116
3.6424,1.001502
3.6624,1.000738
3.6825,0.999608
3.7025,0.99952
3.7225,1.000894
3.7425,1.000687
3.7625,0.99973
3.7825,0.998881
3.8025,1.000204
3.8225,1.000147
3.8426,1.000178
3.8626,0.999395
3.8826,1.000637
3.9026,1.000255
3.9226,0.999814
3.9426,1.00082
3.9626,0.998786
3.9827,1.00093
4.0027,0.998973
4.0227,0.999464
4.0427,0.99985
4.0627,0.999038
4.0827,1.000386
4.1027,0.99994
4.1227,0.999768
4.1428,1.000212
4.1628,0.999364
4.1828,1.001789
4.2028,1.000291
4.2228,1.000844
4.2428,1.00063
4.2628,0.999163
4.2829,0.999372
4.3029,1.002106
4.3229,0.999803
4.3429,1.000052
4.3629,1.001223
4.3829,0.999798
4.4029,0.999927
4.4229,0.999918
4.443,1.00039
4.463,1.001234
4.483,0.999403
4.503,0.999968
4.523,0.999791
4.543,0.999558
4.563,1.001162
4.5831,1.000011
4.6031,1.001189
4.6231,0.999445
4.6431,1.000363
4.6631,0.999779
4.6831,0.999973
4.7031,0.999417
4.7231,0.999155
4.7432,0.999597
4.7632,1.000239
4.7832,0.999866
4.8032,0.999881
4.8232,0.998419
4.8432,0.999762
4.8632,0.940389
4.8833,0.940865
4.9033,0.9386
4.9233,0.94146
4.9433,0.94028
4.9633,0.940149
4.9833,0.940048
5.0033,0.940603
5.0233,0.940615
5.0434,0.939699
5.0634,0.942354
5.0834,0.940312
5.1034,0.938981
5.1234,0.939384
5.1434,0.940022
5.1634,0.999495
5.1835,1.000585
5.2035,1.000191
5.2235,1.00084
5.2435,1.000418
5.2635,1.001156
5.2835,0.99808
5.3035,0.998544
5.3235,1.000113
5.3436,0.998782
5.3636,1.00071
5.3836,1.000678
5.4036,0.998949
5.4236,0.999783
5.4436,1.000937
5.4636,0.999386
5.4837,1.000384
5.5037,0.999928
5.5237,1.000169
5.5437,0.99931
5.5637,0.99845
5.5837,1.000061
5.6037,0.99875
5.6237,0.999846
5.6438,0.999556
5.6638,1.00052
5.6838,1.001412
5.7038,0.999321
5.7238,1.000109
5.7438,1.000173
5.7638,0.999444
5.7839,1.000272
5.8039,1.001006
5.8239,1.000493
5.8439,1.000044
5.8639,1.00096
5.8839,0.999926
5.9039,0.999493
5.9239,1.000055
5.944,0.999473
5.964,0.999991
5.984,1.000122
6.004,1.000023
6.024,0.998989
6.044,1.001934
6.064,1.000688
6.0841,1.000769
6.1041,1.00007
6.1241,0.998687
6.1441,1.000996
6.1641,0.998847
6.1841,1.000773
6.2041,1.001528
6.2241,0.999998
6.2442,0.999744
6.2642,0.998781
6.2842,0.999678
6.3042,0.999922
6.3242,0.999961
6.3442,0.999192
6.3642,0.999058
6.3843,0.999575
6.4043,1.000942
6.4243,1.000624
6.4443,1.00141
6.4643,1.000295
6.4843,1.000492
6.5043,1.000376
6.5243,0.99881
6.5444,0.998858
6.5644,1.001097
6.5844,0.999069
6.6044,1.000975
6.6244,0.999973
6.6444,0.999579
6.6644,1.00078
6.6845,0.999507
6.7045,0.9997
6.7245,1.001583
6.7445,0.999706
6.7645,1.001215
6.7845,0.99993
6.8045,1.000377
6.8245,0.999359
6.8446,0.99979
6.8646,0.999647
6.8846,1.000472
6.9046,1.000068
6.9246,1.000389
6.9446,1.001051
6.9646,1.000027
6.9847,1.000595
7.0047,0.999794
7.0247,1.000147
7.0447,1.00009
7.0647,1.000844
7.0847,0.999744
7.1047,1.000834
7.1247,0.999965
7.1448,1.001949
7.1648,1.000398
7.1848,0.999081
7.2048,0.999901
7.2248,0.999359
7.2448,0.999982
7.2648,1.000395
7.2849,0.999983
7.3049,0.999262
7.3249,0.999222
7.3449,1.000163
7.3649,1.000418
7.3849,1.00007
7.4049,1.000484
7.4249,0.999642
7.445,0.999102
7.465,0.998443
7.485,0.999917
7.505,1.000234
7.525,1.000975
7.545,0.999312
7.565,0.998871
7.5851,0.999648
7.6051,1.001082
7.6251,0.999339
7.6451,1.000513
7.6651,1.000374
7.6851,0.999135
7.7051,1.00021
7.7252,1.000966
7.7452,0.999941
7.7652,0.999485
7.7852,0.997958
7.8052,0.999935
7.8252,1.001048
7.8452,1.000922
7.8652,0.999759
7.8853,0.998842
7.9053,0.998349
7.9253,0.999451
7.9453,1.001337
7.9653,0.999734
7.9853,1.00073
8.0053,1.000258
8.0254,0.998202
8.0454,1.000362
8.0654,1.000544
8.0854,0.999581
8.1054,0.998514
8.1254,1.001618
8.1454,1.000291
8.1654,0.999972
8.1855,0.999329
8.2055,1.001269
8.2255,1.001005
8.2455,0.999613
8.2655,0.999514
8.2855,0.999401
8.3055,1.001636
8.3256,1.000224
8.3456,0.999883
8.3656,1.001082
8.3856,1.001983
8.4056,0.99925
8.4256,1.000936
8.4456,1.000784
8.4656,1.000622
8.4857,0.999862
8.5057,1.001335
8.5257,1.000337
8.5457,0.999013
8.5657,1.000905
8.5857,0.998965
8.6057,0.999714
8.6258,0.998731
8.6458,0.999664
8.6658,1.000609
8.6858,1.002111
8.7058,1.000881
8.7258,0.998434
8.7458,0.998947
8.7658,0.999762
8.7859,0.999991
8.8059,0.999613
8.8259,1.000042
8.8459,0.998365
8.8659,0.998915
8.8859,1.000125
8.9059,0.999511
8.926,1.000104
8.946,0.999629
8.966,0.99909
8.986,1.000532
9.006,0.99916
9.026,1.000136
9.046,1.00069
9.066,1.000126
9.0861,1.002151
9.1061,1.000059
9.1261,1.000064
9.1461,0.999521
9.1661,0.999837
9.1861,1.000246
9.2061,1.001342
9.2262,1.000142
9.2462,1.001161
9.2662,0.999242
9.2862,0.998371
9.3062,1.000484
9.3262,0.999415
9.3462,1.001052
9.3662,1.000031
9.3863,0.999703
9.4063,0.998993
9.4263,0.999402
9.4463,0.999476
9.4663,0.999738
9.4863,1.000291
9.5063,1.000232
9.5264,0.999491
9.5464,1.001085
9.5664,1.000683
9.5864,0.999054
9.6064,1.001062
9.6264,1.000944
9.6464,1.00108
9.6664,1.00024
9.6865,0.999962
9.7065,0.999339
9.7265,0.999243
9.7465,0.999807
9.7665,0.998947
9.7865,0.999537
9.8065,1.000342
9.8266,0.999602
9.8466,1.000557
9.8666,0.940256
9.8866,0.93872
9.9066,0.939446
9.9266,0.93802
9.9466,0.940874
9.9666,0.939665
9.9867,0.93805
10.0067,0.937375
10.0267,0.941138
10.0467,0.938706
10.0667,0.939217
10.0867,0.939563
10.1067,0.941888
10.1268,0.939502
10.1468,0.939787
10.1668,1.001163
10.1868,0.999535
10.2068,1.000558
10.2268,1.000044
10.2468,1.001238
10.2668,0.999329
10.2869,1.000281
10.3069,0.999825
10.3269,1.000472
10.3469,0.999619
10.3669,0.998469
10.3869,1.000104
10.4069,1.000056
10.427,0.999362
10.447,0.999817
10.467,1.000016
10.487,1.000338
10.507,1.00001
10.527,0.999143
10.547,1.000157
10.567,0.999448
10.5871,1.000948
10.6071,0.999183
10.6271,0.999558
10.6471,0.999543
10.6671,1.000661
10.6871,0.99991
10.7071,1.000316
10.7272,0.999841
10.7472,0.999256
10.7672,0.998642
10.7872,0.998986
10.8072,0.999808
10.8272,0.999386
10.8472,1.000496
10.8672,1.000018
10.8873,0.998664
10.9073,0.998934
10.9273,0.999734
10.9473,1.000143
10.9673,0.999742
10.9873,0.999619
11.0073,1.000036
11.0274,0.998356
