time,flux
0.0,0.349883
0.02,0.35115
0.04,0.349478
0.06,0.350794
0.08,0.351093
0.1,0.349846
0.12,0.349982
0.14,0.349804
0.1601,0.352598
0.1801,0.349079
0.2001,0.352463
0.2201,0.349073
0.2401,0.348237
0.2601,0.350473
0.2801,0.349052
0.3001,0.999818
0.3201,0.999785
0.3401,1.000809
0.3601,1.000105
0.3801,1.001428
0.4001,0.999373
0.4201,1.001207
0.4401,0.999372
0.4602,1.000654
0.4802,1.00081
0.5002,1.000053
0.5202,1.000591
0.5402,0.99969
0.5602,1.00056
0.5802,1.000312
0.6002,1.000722
0.6202,1.000573
0.6402,1.000446
0.6602,1.000201
0.6802,1.000444
0.7002,1.000248
0.7202,1.000204
0.7402,1.001156
0.7603,1.000414
0.7803,0.999652
0.8003,1.000196
0.8203,1.000156
0.8403,0.999203
0.8603,1.000114
0.8803,0.999648
0.9003,0.999615
0.9203,1.000677
0.9403,0.999584
0.9603,1.000353
0.9803,0.999908
1.0003,0.999308
1.0203,1.001213
1.0403,1.000479
1.0604,1.000546
1.0804,1.000489
1.1004,1.000407
1.1204,0.999904
1.1404,1.000987
1.1604,0.998717
1.1804,1.000543
1.2004,0.999746
1.2204,0.999527
1.2404,0.998863
1.2604,1.001518
1.2804,1.000331
1.3004,0.999961
1.3204,1.000714
1.3404,0.999477
1.3605,0.999563
1.3805,0.998458
1.4005,1.000069
1.4205,0.999349
1.4405,1.000236
1.4605,0.999171
1.4805,0.999048
1.5005,1.000157
1.5205,0.999134
1.5405,0.999614
1.5605,0.999775
1.5805,1.000148
1.6005,0.999875
1.6205,0.999154
1.6405,0.999723
1.6606,0.99897
1.6806,1.000219
1.7006,1.001294
1.7206,1.000491
1.7406,0.999984
1.7606,0.998653
1.7806,1.000178
1.8006,1.001341
1.8206,0.998901
1.8406,1.001368
1.8606,1.000786
1.8806,0.99981
1.9006,1.00074
1.9206,1.002094
1.9406,1.00085
1.9607,0.999822
1.9807,1.000984
2.0007,0.999859
2.0207,0.999517
2.0407,0.999948
2.0607,0.999804
2.0807,0.999964
2.1007,1.000017
2.1207,0.999543
2.1407,0.999164
2.1607,1.000405
2.1807,0.999508
2.2007,0.999873
2.2207,0.99916
2.2407,0.999558
2.2608,1.000647
2.2808,1.000005
2.3008,1.000054
2.3208,0.998957
2.3408,0.999273
2.3608,0.999299
2.3808,1.000624
2.4008,1.000085
2.4208,1.002072
2.4408,1.000845
2.4608,1.001104
2.4808,1.000291
2.5008,1.000002
2.5208,0.999324
2.5408,1.000946
2.5609,0.999681
2.5809,0.999877
2.6009,1.001077
2.6209,1.00045
2.6409,0.999376
2.6609,1.000056
2.6809,0.999707
2.7009,1.000684
2.7209,1.000445
2.7409,1.000414
2.7609,1.000966
2.7809,0.999985
2.8009,1.001177
2.8209,0.999821
2.8409,1.000637
2.861,1.000411
2.881,0.999989
2.901,1.000778
2.921,1.000209
2.941,1.000275
2.961,1.001401
2.981,0.999112
3.001,0.99982
3.021,1.000756
3.041,0.999506
3.061,0.99932
3.081,0.999527
3.101,0.99859
3.121,0.999772
3.141,0.999294
3.1611,0.999024
3.1811,1.000956
3.2011,1.001222
3.2211,1.000545
3.2411,1.001332
3.2611,0.999934
3.2811,1.000371
3.3011,1.001463
3.3211,1.00047
3.3411,0.998625
3.3611,0.998945
3.3811,0.998024
3.4011,0.998881
3.4211,1.00059
3.4411,1.000664
3.4612,0.999192
3.4812,1.000137
3.5012,1.000615
3.5212,1.000059
3.5412,1.000195
3.5612,1.000001
3.5812,0.999427
3.6012,1.000375
3.6212,1.000133
3.6412,0.999197
3.6612,0.999012
3.6812,1.000823
3.7012,1.000987
3.7212,0.999216
3.7412,1.000903
3.7613,0.999348
3.7813,0.999548
3.8013,1.000004
3.8213,0.999217
3.8413,0.999734
3.8613,1.000566
3.8813,0.999986
3.9013,0.998978
3.9213,1.000569
3.9413,1.000197
3.9613,0.999226
3.9813,0.998726
4.0013,1.000149
4.0213,1.001311
4.0413,1.00063
4.0614,1.001775
4.0814,1.000556
4.1014,1.000346
4.1214,0.999486
4.1414,0.998851
4.1614,1.000717
4.1814,1.00013
4.2014,1.001037
4.2214,0.999784
4.2414,0.999939
4.2614,0.999788
4.2814,0.999904
4.3014,0.998901
4.3214,1.000109
4.3414,0.999159
4.3615,0.999868
4.3815,0.999746
4.4015,0.999827
4.4215,1.00017
