time,flux
0.0,0.610026
0.02,0.614504
0.04,0.626787
0.06,0.647619
0.08,0.675339
0.1,0.705866
0.12,0.739408
0.14,0.775067
0.1601,0.810879
0.1801,0.843107
0.2001,0.873415
0.2201,0.900605
0.2401,0.923515
0.2601,0.941484
0.2801,0.957902
0.3001,0.969431
0.3201,0.977767
0.3401,0.984432
0.3601,0.988309
0.3801,0.993397
0.4001,0.995373
0.4201,0.996512
0.4401,0.997145
0.4602,0.99907
0.4802,0.999263
0.5002,1.000723
0.5202,0.998973
0.5402,1.000268
0.5602,1.000456
0.5802,1.000151
0.6002,0.999519
0.6202,1.000993
0.6402,1.000419
0.6602,0.999399
0.6802,0.999409
0.7002,0.999195
0.7202,0.999461
0.7402,1.001072
0.7603,1.000945
0.7803,1.000059
0.8003,1.000251
0.8203,0.999971
0.8403,1.000066
0.8603,1.000378
0.8803,1.000641
0.9003,1.000267
0.9203,1.000483
0.9403,0.999194
0.9603,0.999834
0.9803,0.999881
1.0003,1.000182
1.0203,0.999452
1.0403,1.000521
1.0604,0.999425
1.0804,0.998686
1.1004,1.000679
1.1204,0.998792
1.1404,1.000203
1.1604,1.001127
1.1804,0.999957
1.2004,0.999656
1.2204,0.999566
1.2404,1.000297
1.2604,0.999738
1.2804,0.999643
1.3004,1.000686
1.3204,1.000171
1.3404,0.999709
1.3605,1.000088
1.3805,0.999207
1.4005,0.999752
1.4205,1.00012
1.4405,0.999529
1.4605,0.999552
1.4805,1.000717
1.5005,1.000513
1.5205,1.000579
1.5405,0.99983
1.5605,1.00012
1.5805,1.000184
1.6005,1.000081
1.6205,0.998443
1.6405,0.999768
1.6606,1.000554
1.6806,1.000178
1.7006,1.001005
1.7206,1.001219
1.7406,0.998928
1.7606,0.999882
1.7806,1.00022
1.8006,0.999453
1.8206,0.999795
1.8406,0.998752
1.8606,1.000041
1.8806,1.000106
1.9006,0.999713
1.9206,0.999055
1.9406,0.999551
1.9607,1.000444
1.9807,0.999821
2.0007,1.000444
2.0207,0.999731
2.0407,1.000441
2.0607,1.000342
2.0807,0.999585
2.1007,0.99995
2.1207,1.000491
2.1407,1.00049
2.1607,1.000897
2.1807,1.000216
2.2007,0.9998
2.2207,0.999436
2.2407,1.000627
2.2608,0.9999
2.2808,0.99953
2.3008,0.999864
2.3208,1.000214
2.3408,1.00044
2.3608,1.000047
2.3808,0.999295
2.4008,1.000227
2.4208,0.998905
2.4408,0.999337
2.4608,0.999108
2.4808,0.999139
2.5008,0.999089
2.5208,0.999631
2.5408,0.999295
2.5609,0.999972
2.5809,0.999788
2.6009,0.999536
2.6209,0.999971
2.6409,1.000127
2.6609,1.00077
2.6809,1.001208
2.7009,0.999404
2.7209,0.999517
2.7409,1.000031
2.7609,0.999672
2.7809,1.000357
2.8009,1.000347
2.8209,1.000782
2.8409,1.000488
2.861,1.000949
2.881,0.999908
2.901,0.999814
2.921,1.000165
2.941,1.001628
2.961,1.000512
2.981,1.000551
3.001,0.999112
3.021,1.000472
3.041,1.000188
3.061,0.999621
3.081,0.9998
3.101,0.999648
3.121,0.999605
3.141,0.999982
3.1611,0.999564
3.1811,1.0003
3.2011,1.000058
3.2211,0.999697
3.2411,1.00092
3.2611,0.999223
3.2811,0.999588
3.3011,1.000029
3.3211,0.999951
3.3411,0.999643
3.3611,0.999857
3.3811,1.000506
3.4011,1.000552
3.4211,1.000185
3.4411,1.00003
3.4612,0.999356
3.4812,1.00032
3.5012,1.000517
3.5212,1.000472
3.5412,0.999983
3.5612,1.000339
3.5812,0.999854
3.6012,1.000024
3.6212,0.999477
3.6412,0.999404
3.6612,0.99901
3.6812,1.00067
3.7012,0.999037
3.7212,1.000408
3.7412,0.999842
3.7613,0.999705
3.7813,1.000465
3.8013,1.000024
3.8213,0.999243
3.8413,0.999469
3.8613,0.999051
3.8813,1.000094
3.9013,1.000162
3.9213,0.999946
3.9413,0.999786
3.9613,0.999987
3.9813,0.999044
4.0013,1.0003
4.0213,1.000135
4.0413,1.001136
4.0614,1.000838
4.0814,1.000181
4.1014,1.001429
4.1214,1.000202
4.1414,0.999874
4.1614,1.000431
4.1814,0.999619
4.2014,1.00027
4.2214,1.001116
4.2414,0.999046
4.2614,1.00062
4.2814,1.000775
4.3014,1.00029
4.3214,0.999949
4.3414,1.000699
4.3615,0.999372
4.3815,1.000838
4.4015,0.999937
4.4215,0.999468
4.4415,1.00048
4.4615,1.00028
4.4815,0.999811
4.5015,1.000146
4.5215,0.998382
4.5415,0.999893
4.5615,0.999142
4.5815,0.996974
4.6015,0.994687
4.6215,0.992965
4.6415,0.988748
4.6616,0.983947
4.6816,0.977995
4.7016,0.968812
4.7216,0.956093
4.7416,0.939835
4.7616,0.920545
4.7816,0.898218
