time,flux
0.0,0.739327
0.02,0.738214
0.04,0.74106
0.06,0.739938
0.08,0.740739
0.1,0.741601
0.12,0.741007
0.14,0.740507
0.1601,0.739278
0.1801,0.739569
0.2001,1.001946
0.2201,1.002141
0.2401,1.000127
0.2601,1.000473
0.2801,1.000831
0.3001,1.002016
0.3201,1.000341
0.3401,1.001663
0.3601,1.001737
0.3801,0.999789
0.4001,1.000024
0.4201,1.001242
0.4401,1.001992
0.4602,1.001021
0.4802,1.003841
0.5002,1.000902
0.5202,1.002347
0.5402,1.001259
0.5602,1.00245
0.5802,1.002042
0.6002,1.002342
0.6202,1.000761
0.6402,1.00313
0.6602,1.002186
0.6802,1.003243
0.7002,1.001723
0.7202,1.001679
0.7402,1.00121
0.7603,1.002773
0.7803,1.001578
0.8003,1.002072
0.8203,1.002775
0.8403,1.00155
0.8603,1.001804
0.8803,1.003678
0.9003,1.003752
0.9203,1.002597
0.9403,1.004749
0.9603,1.003168
0.9803,1.003377
1.0003,1.003244
1.0203,1.002812
1.0403,1.005525
1.0604,1.002802
1.0804,1.002339
1.1004,1.003466
1.1204,1.00347
1.1404,1.004025
1.1604,1.003792
1.1804,1.005044
1.2004,1.00356
1.2204,1.002698
1.2404,1.005587
1.2604,1.003167
1.2804,1.003371
1.3004,1.004197
1.3204,1.00366
1.3404,1.002937
1.3605,1.003706
1.3805,1.004396
1.4005,1.004296
1.4205,1.004487
1.4405,1.003738
1.4605,1.005548
1.4805,1.003995
1.5005,1.003032
1.5205,1.006321
1.5405,1.004757
1.5605,1.002578
1.5805,1.004466
1.6005,1.003886
1.6205,1.005945
1.6405,1.003863
1.6606,1.006713
1.6806,1.004971
1.7006,1.005943
1.7206,1.003973
1.7406,1.00533
1.7606,1.004278
1.7806,1.004821
1.8006,1.005458
1.8206,1.005734
1.8406,1.007027
1.8606,1.005681
1.8806,1.004254
1.9006,1.006629
1.9206,1.005651
1.9406,1.006653
1.9607,1.006043
1.9807,1.005545
2.0007,1.005841
2.0207,1.006618
2.0407,1.006108
2.0607,1.005793
2.0807,1.006405
2.1007,1.007098
2.1207,1.005583
2.1407,1.006742
2.1607,1.006936
2.1807,1.004987
2.2007,1.006168
2.2207,1.006463
2.2407,1.005742
2.2608,1.005523
2.2808,1.00608
2.3008,1.006855
2.3208,1.006457
2.3408,1.003805
2.3608,1.005961
2.3808,1.004472
2.4008,1.006915
2.4208,1.007519
2.4408,1.006053
2.4608,1.006908
2.4808,1.006429
2.5008,1.008576
2.5208,1.006852
2.5408,1.007855
2.5609,1.006729
2.5809,1.006484
2.6009,1.006785
2.6209,1.006551
2.6409,1.009597
2.6609,1.007257
2.6809,1.005599
2.7009,1.007777
2.7209,1.007873
2.7409,1.008582
2.7609,1.007541
2.7809,1.007689
2.8009,1.008749
2.8209,1.006129
2.8409,1.006988
2.861,1.007839
2.881,1.008869
2.901,1.009355
2.921,1.008674
2.941,1.009086
2.961,1.007078
2.981,1.008734
3.001,1.008228
3.021,1.00673
3.041,1.007156
3.061,1.008484
3.081,1.00833
3.101,1.008435
3.121,1.008213
3.141,1.008361
3.1611,1.008403
3.1811,1.010002
3.2011,1.008224
3.2211,1.009018
3.2411,1.009457
3.2611,1.009572
3.2811,1.00991
3.3011,1.007803
3.3211,1.008022
3.3411,1.007717
3.3611,1.009275
3.3811,1.008774
3.4011,1.007449
3.4211,1.009499
3.4411,1.00915
3.4612,1.00897
3.4812,1.008827
3.5012,1.008355
3.5212,1.008633
3.5412,1.008737
3.5612,1.008354
3.5812,1.008054
3.6012,1.009466
3.6212,1.009907
3.6412,1.007586
