time,flux
0.0,0.735044
0.02,0.735623
0.04,0.736607
0.06,0.7362
0.08,0.734752
0.1,0.735386
0.12,0.735202
0.14,0.735469
0.1601,0.735659
0.1801,0.735613
0.2001,0.994164
0.2201,0.992618
0.2401,0.994032
0.2601,0.99587
0.2801,0.994564
0.3001,0.994028
0.3201,0.994029
0.3401,0.993182
0.3601,0.995036
0.3801,0.993452
0.4001,0.992986
0.4201,0.993519
0.4401,0.993215
0.4602,0.995014
0.4802,0.995057
0.5002,0.993507
0.5202,0.993595
0.5402,0.994374
0.5602,0.994355
0.5802,0.993401
0.6002,0.994843
0.6202,0.993649
0.6402,0.994684
0.6602,0.994422
0.6802,0.994297
0.7002,0.993589
0.7202,0.995619
0.7402,0.994173
0.7603,0.994481
0.7803,0.995435
0.8003,0.99456
0.8203,0.993911
0.8403,0.994188
0.8603,0.994624
0.8803,0.994657
0.9003,0.992866
0.9203,0.993728
0.9403,0.99527
0.9603,0.995507
0.9803,0.994691
1.0003,0.995081
1.0203,0.993864
1.0403,0.99392
1.0604,0.994124
1.0804,0.993874
1.1004,0.993379
1.1204,0.993748
1.1404,0.995008
1.1604,0.993442
1.1804,0.993103
1.2004,0.99408
1.2204,0.99431
1.2404,0.993638
1.2604,0.994
1.2804,0.993247
1.3004,0.994032
1.3204,0.994217
1.3404,0.994705
1.3605,0.993042
1.3805,0.995336
1.4005,0.994356
1.4205,0.995008
1.4405,0.99471
1.4605,0.994278
1.4805,0.994516
1.5005,0.99442
1.5205,0.995414
1.5405,0.994096
1.5605,0.994836
1.5805,0.993552
1.6005,0.994835
1.6205,0.994263
1.6405,0.99402
1.6606,0.993643
1.6806,0.994535
1.7006,0.995547
1.7206,0.994188
1.7406,0.993706
1.7606,0.995147
1.7806,0.993226
1.8006,0.992421
1.8206,0.99324
1.8406,0.994695
1.8606,0.993416
1.8806,0.99355
1.9006,0.992281
1.9206,0.993384
1.9406,0.994132
1.9607,0.995214
1.9807,0.993602
2.0007,0.994288
2.0207,0.994591
2.0407,0.993074
2.0607,0.995528
2.0807,0.99448
2.1007,0.993171
2.1207,0.993807
2.1407,0.994571
2.1607,0.995238
2.1807,0.995342
2.2007,0.994688
2.2207,0.99457
2.2407,0.994131
2.2608,0.994295
2.2808,0.994668
2.3008,0.994459
2.3208,0.993355
2.3408,0.994767
2.3608,0.993944
2.3808,0.99464
2.4008,0.993757
2.4208,0.993073
2.4408,0.994211
2.4608,0.99498
2.4808,0.995869
2.5008,0.99453
2.5208,0.9949
2.5408,0.994884
2.5609,0.994962
2.5809,0.994202
2.6009,0.994306
2.6209,0.995508
2.6409,0.993909
2.6609,0.995775
2.6809,0.99496
2.7009,0.994554
2.7209,0.994077
2.7409,0.994698
2.7609,0.995195
2.7809,0.993497
2.8009,0.995177
2.8209,0.99543
2.8409,0.995458
2.861,0.994135
2.881,0.99548
2.901,0.996272
2.921,0.995019
2.941,0.993527
2.961,0.993556
2.981,0.995246
3.001,0.993362
3.021,0.99451
3.041,0.994649
3.061,0.993757
3.081,0.995221
3.101,0.995683
3.121,0.99476
3.141,0.993939
3.1611,0.993791
3.1811,0.995557
3.2011,0.993892
3.2211,0.995207
3.2411,0.995168
3.2611,0.992992
3.2811,0.994412
3.3011,0.995132
3.3211,0.993908
3.3411,0.994446
3.3611,0.99553
3.3811,0.996023
3.4011,0.995972
3.4211,0.995108
3.4411,0.994375
3.4612,0.995081
3.4812,0.994323
3.5012,0.994581
3.5212,0.995766
3.5412,0.995185
3.5612,0.994392
3.5812,0.995302
3.6012,0.993929
3.6212,0.994827
3.6412,0.993673
3.6612,0.994791
3.6812,0.99487
3.7012,0.994943
3.7212,0.996575
3.7412,0.995213
3.7613,0.994723
3.7813,0.995108
3.8013,0.995065
3.8213,0.993766
3.8413,0.994839
3.8613,0.99501
3.8813,0.994605
3.9013,0.995076
3.9213,0.994655
3.9413,0.995511
3.9613,0.995431
3.9813,0.99443
4.0013,0.995342
4.0213,0.995936
4.0413,0.993483
4.0614,0.993919
4.0814,0.995297
4.1014,0.995967
4.1214,0.99405
4.1414,0.994896
4.1614,0.995285
4.1814,0.993027
4.2014,0.994973
4.2214,0.995626
4.2414,0.996009
4.2614,0.994934
4.2814,0.995457
4.3014,0.994751
4.3214,0.994586
4.3414,0.993695
4.3615,0.994425
4.3815,0.993859
4.4015,0.995185
4.4215,0.996465
4.4415,0.996655
4.4615,0.99558
4.4815,0.994798
4.5015,0.99504
4.5215,0.994839
4.5415,0.994451
4.5615,0.994637
4.5815,0.995353
4.6015,0.996006
4.6215,0.994516
4.6415,0.99453
4.6616,0.996611
4.6816,0.995463
4.7016,0.995565
4.7216,0.995352
4.7416,0.994554
4.7616,0.995077
4.7816,0.994317
4.8016,0.737703
4.8216,0.736042
4.8416,0.736832
4.8616,0.736438
4.8816,0.736217
4.9016,0.73558
4.9216,0.736686
4.9416,0.736222
4.9617,0.735758
4.9817,0.734876
5.0017,0.7362
5.0217,0.737212
5.0417,0.736648
5.0617,0.736387
5.0817,0.736259
5.1017,0.736419
5.1217,0.735399
5.1417,0.735144
5.1617,0.736723
5.1817,0.735642
5.2017,0.994189
5.2217,0.994961
5.2417,0.995567
5.2618,0.994608
5.2818,0.994345
5.3018,0.996088
5.3218,0.995979
5.3418,0.995795
5.3618,0.996039
5.3818,0.996493
5.4018,0.995049
5.4218,0.99458
5.4418,0.994905
5.4618,0.995417
5.4818,0.995981
5.5018,0.994941
5.5218,0.99403
5.5418,0.993865
5.5619,0.994677
5.5819,0.995462
5.6019,0.995766
5.6219,0.995391
5.6419,0.994764
5.6619,0.996754
5.6819,0.994071
5.7019,0.995427
5.7219,0.996324
5.7419,0.99524
5.7619,0.995851
5.7819,0.993163
5.8019,0.995653
5.8219,0.993876
5.8419,0.995194
5.862,0.994557
5.882,0.994707
5.902,0.995276
5.922,0.99564
5.942,0.994172
5.962,0.994986
5.982,0.995608
6.002,0.995396
6.022,0.9947
6.042,0.996053
6.062,0.995989
6.082,0.993548
6.102,0.995499
6.122,0.995272
6.142,0.995106
6.1621,0.996092
6.1821,0.996598
6.2021,0.995831
6.2221,0.994868
6.2421,0.995726
6.2621,0.995846
6.2821,0.995522
6.3021,0.995378
6.3221,0.994827
6.3421,0.99569
6.3621,0.995817
6.3821,0.995384
6.4021,0.995528
6.4221,0.993737
6.4421,0.99564
6.4622,0.996711
6.4822,0.994267
6.5022,0.993144
6.5222,0.993649
6.5422,0.995366
6.5622,0.995153
6.5822,0.995684
6.6022,0.997371
6.6222,0.994986
6.6422,0.995847
6.6622,0.994995
6.6822,0.994249
6.7022,0.995198
6.7222,0.996112
6.7422,0.996501
6.7623,0.995274
6.7823,0.994216
6.8023,0.996204
6.8223,0.996156
6.8423,0.996097
6.8623,0.994215
6.8823,0.995624
6.9023,0.994646
6.9223,0.996098
6.9423,0.995484
6.9623,0.995072
6.9823,0.994844
7.0023,0.995633
7.0223,0.995676
7.0423,0.99483
7.0624,0.99589
7.0824,0.996768
7.1024,0.993156
7.1224,0.996543
7.1424,0.996267
7.1624,0.994777
7.1824,0.99517
7.2024,0.996746
7.2224,0.996373
7.2424,0.996656
7.2624,0.996347
7.2824,0.994783
7.3024,0.995725
7.3224,0.996383
7.3424,0.995025
7.3625,0.995282
7.3825,0.99496
7.4025,0.99519
7.4225,0.99528
7.4425,0.995988
7.4625,0.99546
7.4825,0.996392
7.5025,0.996169
7.5225,0.995822
7.5425,0.99614
7.5625,0.995962
7.5825,0.993889
7.6025,0.995318
7.6225,0.995932
7.6425,0.995644
7.6626,0.995922
7.6826,0.997143
7.7026,0.996319
7.7226,0.996921
7.7426,0.995715
7.7626,0.994526
7.7826,0.995214
7.8026,0.996322
7.8226,0.995404
7.8426,0.995852
7.8626,0.995832
7.8826,0.997304
7.9026,0.995993
7.9226,0.994566
7.9426,0.995973
7.9627,0.994985
7.9827,0.995013
8.0027,0.994419
8.0227,0.996514
8.0427,0.99502
8.0627,0.995684
8.0827,0.996871
8.1027,0.995959
8.1227,0.99516
8.1427,0.995567
8.1627,0.996933
8.1827,0.995187
8.2027,0.994591
8.2227,0.995326
8.2427,0.996422
8.2628,0.99696
8.2828,0.995203
8.3028,0.995407
8.3228,0.99611
8.3428,0.995666
8.3628,0.995967
8.3828,0.995898
8.4028,0.993989
8.4228,0.996475
8.4428,0.996161
8.4628,0.995471
8.4828,0.994437
8.5028,0.995047
8.5228,0.995638
8.5428,0.996116
8.5629,0.994123
8.5829,0.995147
8.6029,0.997406
8.6229,0.995896
8.6429,0.996701
8.6629,0.996353
8.6829,0.99465
8.7029,0.995497
8.7229,0.995706
8.7429,0.996909
8.7629,0.995718
8.7829,0.995933
8.8029,0.995835
8.8229,0.995676
8.8429,0.996784
8.863,0.996002
8.883,0.995954
8.903,0.995635
8.923,0.996041
8.943,0.995268
8.963,0.996605
8.983,0.996403
9.003,0.994147
9.023,0.995535
9.043,0.997002
9.063,0.997886
9.083,0.995741
9.103,0.995319
9.123,0.994201
9.143,0.995982
9.1631,0.996122
9.1831,0.996665
9.2031,0.997035
9.2231,0.995513
9.2431,0.995096
9.2631,0.995748
9.2831,0.995139
9.3031,0.994408
9.3231,0.997481
9.3431,0.996059
9.3631,0.995491
9.3831,0.995698
9.4031,0.994792
9.4231,0.996746
9.4431,0.994982
9.4632,0.995942
9.4832,0.995073
9.5032,0.996371
9.5232,0.996147
9.5432,0.996109
9.5632,0.996695
9.5832,0.997117
9.6032,0.994645
9.6232,0.996495
9.6432,0.995069
9.6632,0.995769
9.6832,0.995184
9.7032,0.996179
9.7232,0.996314
9.7432,0.995927
9.7633,0.995664
9.7833,0.995625
9.8033,0.736101
9.8233,0.736524
9.8433,0.736693
9.8633,0.736066
9.8833,0.736429
9.9033,0.737878
9.9233,0.738158
9.9433,0.736434
9.9633,0.737122
9.9833,0.737453
10.0033,0.737531
10.0233,0.735299
10.0433,0.737062
10.0634,0.735478
10.0834,0.736454
10.1034,0.73722
10.1234,0.736563
10.1434,0.735731
10.1634,0.737162
10.1834,0.737554
10.2034,0.996448
10.2234,0.997516
10.2434,0.997071
10.2634,0.996354
10.2834,0.996028
10.3034,0.994608
10.3234,0.995498
10.3434,0.994805
10.3635,0.996331
10.3835,0.995067
10.4035,0.996471
10.4235,0.996074
10.4435,0.995047
10.4635,0.996943
10.4835,0.99707
10.5035,0.996236
10.5235,0.994061
10.5435,0.997092
10.5635,0.99644
10.5835,0.996444
10.6035,0.995571
10.6235,0.997075
10.6435,0.996373
10.6636,0.994579
10.6836,0.997959
10.7036,0.995765
10.7236,0.995733
10.7436,0.996966
10.7636,0.995982
10.7836,0.995755
10.8036,0.995857
10.8236,0.996661
10.8436,0.995711
10.8636,0.997256
10.8836,0.995481
10.9036,0.996286
10.9236,0.995086
10.9436,0.996724
10.9637,0.997308
10.9837,0.99614
11.0037,0.994905
11.0237,0.996103
11.0437,0.997034
11.0637,0.995588
11.0837,0.995735
11.1037,0.997559
11.1237,0.9955
11.1437,0.996249
11.1637,0.99711
11.1837,0.996548
11.2037,0.996793
11.2237,0.997223
11.2437,0.995888
11.2638,0.995881
11.2838,0.996719
11.3038,0.995397
11.3238,0.994741
11.3438,0.996573
11.3638,0.997459
11.3838,0.995907
11.4038,0.994957
11.4238,0.996172
11.4438,0.995532
11.4638,0.996451
11.4838,0.996814
11.5038,0.996349
11.5238,0.996503
11.5438,0.994945
11.5639,0.996076
11.5839,0.996156
11.6039,0.996717
11.6239,0.996824
11.6439,0.996123
11.6639,0.997498
11.6839,0.995325
11.7039,0.995589
11.7239,0.997156
11.7439,0.997545
11.7639,0.995891
11.7839,0.99677
11.8039,0.997511
11.8239,0.997179
11.8439,0.996508
11.864,0.997011
11.884,0.996546
11.904,0.996196
11.924,0.995809
11.944,0.99609
11.964,0.996001
11.984,0.995933
12.004,0.996476
12.024,0.995596
12.044,0.995781
12.064,0.996587
12.084,0.997311
12.104,0.995546
12.124,0.996466
12.144,0.996213
12.1641,0.99623
12.1841,0.996414
12.2041,0.997641
12.2241,0.996504
12.2441,0.996581
12.2641,0.997106
12.2841,0.996493
12.3041,0.997541
12.3241,0.996592
12.3441,0.995573
12.3641,0.995833
12.3841,0.997994
12.4041,0.997621
12.4241,0.996365
12.4441,0.996336
12.4642,0.996052
12.4842,0.996797
12.5042,0.995935
12.5242,0.99657
12.5442,0.995611
12.5642,0.99559
12.5842,0.997869
12.6042,0.995644
12.6242,0.995804
12.6442,0.995484
12.6642,0.996047
12.6842,0.996664
12.7042,0.997055
12.7242,0.99654
12.7442,0.996965
12.7643,0.995442
12.7843,0.995707
12.8043,0.996901
12.8243,0.996917
12.8443,0.996985
12.8643,0.996496
12.8843,0.997048
12.9043,0.995854
12.9243,0.996574
12.9443,0.996782
12.9643,0.997113
12.9843,0.994743
13.0043,0.997714
13.0243,0.996918
13.0443,0.996842
13.0644,0.997665
13.0844,0.995688
13.1044,0.997262
13.1244,0.995631
13.1444,0.995809
13.1644,0.997192
13.1844,0.996511
13.2044,0.995535
13.2244,0.996633
13.2444,0.995448
13.2644,0.996312
13.2844,0.997196
13.3044,0.995838
13.3244,0.996758
13.3444,0.997558
13.3645,0.996697
13.3845,0.996985
13.4045,0.997266
13.4245,0.99686
13.4445,0.995822
13.4645,0.995836
13.4845,0.996246
13.5045,0.997173
13.5245,0.996652
13.5445,0.996089
13.5645,0.995667
13.5845,0.997566
13.6045,0.997064
13.6245,0.996519
13.6445,0.995899
13.6646,0.997424
13.6846,0.998371
13.7046,0.996683
13.7246,0.996678
13.7446,0.995723
13.7646,0.99695
13.7846,0.996045
13.8046,0.997537
13.8246,0.997992
13.8446,0.996579
13.8646,0.997134
13.8846,0.997562
13.9046,0.996199
13.9246,0.996987
13.9446,0.996696
13.9647,0.996313
13.9847,0.997109
14.0047,0.996454
14.0247,0.996695
14.0447,0.995871
14.0647,0.996492
14.0847,0.996827
14.1047,0.99791
14.1247,0.996809
14.1447,0.995997
14.1647,0.996332
14.1847,0.996469
14.2047,0.997926
14.2247,0.997954
14.2447,0.996431
14.2648,0.9978
14.2848,0.997125
14.3048,0.997735
14.3248,0.998073
14.3448,0.996263
14.3648,0.99721
14.3848,0.997738
14.4048,0.996408
14.4248,0.996393
14.4448,0.997028
14.4648,0.995412
14.4848,0.997922
14.5048,0.99765
14.5248,0.9967
14.5448,0.99639
14.5649,0.996279
14.5849,0.997291
14.6049,0.996137
14.6249,0.99714
14.6449,0.996937
14.6649,0.994725
14.6849,0.996658
14.7049,0.995408
14.7249,0.998085
14.7449,0.995719
14.7649,0.997261
14.7849,0.996502
14.8049,0.738518
14.8249,0.738547
14.8449,0.736996
14.865,0.737662
14.885,0.737026
14.905,0.738167
14.925,0.738295
14.945,0.737171
14.965,0.736723
14.985,0.738652
15.005,0.738306
15.025,0.736178
15.045,0.737617
15.065,0.737426
15.085,0.738665
15.105,0.738334
15.125,0.73875
15.145,0.739013
15.1651,0.737485
15.1851,0.737004
15.2051,0.998096
15.2251,0.997762
15.2451,0.997657
15.2651,0.998716
15.2851,0.997701
15.3051,0.996097
15.3251,0.997831
15.3451,0.997263
15.3651,0.997225
15.3851,0.995986
