time,flux
0.0,0.223445
0.02,0.222758
0.04,0.214712
0.06,0.220536
0.08,0.221927
0.1,0.208524
0.12,0.217935
0.14,0.216196
0.1601,0.223909
0.1801,0.217413
0.2001,0.210832
0.2201,0.228539
0.2401,0.228262
0.2601,0.219701
0.2801,0.22297
0.3001,0.994778
0.3201,0.993494
0.3401,0.999642
0.3601,1.002409
0.3801,1.004254
0.4001,1.001104
0.4201,1.005417
0.4401,0.996628
0.4602,0.996305
0.4802,0.997435
0.5002,0.991796
0.5202,0.98977
0.5402,0.99929
0.5602,0.994279
0.5802,0.996346
0.6002,1.001324
0.6202,0.988744
0.6402,1.00091
0.6602,1.005326
0.6802,0.995379
0.7002,0.989486
0.7202,0.991644
0.7402,1.007524
0.7603,0.997482
0.7803,1.003189
0.8003,0.997341
0.8203,1.0035
0.8403,0.993264
0.8603,1.003975
0.8803,0.992058
0.9003,0.997812
0.9203,1.003669
0.9403,1.000058
0.9603,1.000933
0.9803,1.004266
1.0003,1.006291
1.0203,1.002255
1.0403,0.992355
1.0604,1.003437
1.0804,0.994274
1.1004,1.001002
1.1204,1.001462
1.1404,0.9983
1.1604,0.996741
1.1804,0.996185
1.2004,1.000558
1.2204,0.990263
1.2404,0.992495
1.2604,0.997027
1.2804,0.994944
1.3004,0.997304
1.3204,0.995322
1.3404,0.997608
1.3605,0.99541
1.3805,0.99546
1.4005,1.001463
1.4205,0.999679
1.4405,1.00449
1.4605,0.997669
1.4805,0.998566
1.5005,1.000047
1.5205,1.008654
1.5405,0.993588
1.5605,1.001457
1.5805,0.99742
1.6005,0.998537
1.6205,0.99993
1.6405,0.99293
1.6606,0.998377
1.6806,1.000411
1.7006,0.997549
1.7206,0.992891
1.7406,0.997916
1.7606,0.993283
1.7806,1.001145
1.8006,0.99756
1.8206,1.000645
1.8406,0.998945
1.8606,1.004939
1.8806,1.005583
1.9006,1.001607
1.9206,1.00207
1.9406,0.990802
1.9607,1.004532
1.9807,0.993654
2.0007,1.006855
2.0207,0.995551
